taxon	from	to	parent	children	notes	level	asterisk	is_collapsed	is_root	is_tip	is_node
archosauromorpha	-260	-0	archelosauria	archosauriformes, ichthyosauromorpha, rhynchosauria, sauropterygia, thalattosauria, tanystropheus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
ardipithecus	-5.77	-4.4	hominini	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
argentinosaurus	-96.2	-92.19	titanosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
artiodactyla	-60	-0	laurasiatheria	andrewsarchus, cetacea, entelodontidae, hippopotamidae, tylopoda, suina, giraffidae, bovidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
atrociraptor	-72.2	-71.5	eudromaeosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
attenborosaurus	-196.5	-189.6	pliosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
aurornis	-160	-160	anchiornithidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
australopithecus	-4.5	-1.2	hominini	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
australovenator	-95	-95	megaraptora	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
avemetatarsalia	-247	-0	archosauria	dinosauromorpha, pterosauria	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
aves	-75	-0	euornithes	neognathae, palaeognathae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
avialae	-150.8	-0	paraves	archaeopteryx, enantiornithes, euornithes	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
azhdarchidae	-92	-66	ornithocheiroidea	quetzalcoatlus, hatzegopteryx	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
barinasuchus	-42.2	-11.8	sebecidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
barosaurus	-152	-150	diplodocidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
baryonyx	-130	-125	spinosauridae	NA	'heavy claw', UK	NA	FALSE	FALSE	FALSE	TRUE	FALSE
basilosauridae	-43	-33.9	cetacea	basilosaurus, dorudon, perucetus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
basilosaurus	-41.3	-33.9	basilosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
batrachotomus	-242	-237	pseudosuchia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
biarmosuchia	-272.5	-252	therapsida	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
bistahieversor	-75.5	-74.5	eutyrannosauria	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
borealopelta	-113	-100.5	nodosauridae	NA	'Northern shield'. Canada. Holotype specimen among the best-preserved dinosaur fossils of its size ever found: osteoderms in their life positions + remains of their keratin sheaths, skin, stomach contents, + melanosomes indicating reddish pinkish skin.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
borhyaena	-21	-15.5	borhyaenidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
borhyaenidae	-63	-5.333	sparassodonta	borhyaena, lycopsis	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
bovidae	-20	-0	artiodactyla	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
brachiosauridae	-160	-100	sauropoda	brachiosaurus, giraffatitan	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
brachiosaurus	-154	-150	brachiosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
brontosaurus	-156.3	-146.8	diplodocidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
brontotheriidae	-56	-34	perissodactyla	megacerops, rhinotitan, embolotherium	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
caiman	-16	-0	alligatoroidea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
camarasaurus	-155	-143.1	sauropoda	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
camptosaurus	-156.3	-146.8	ornithopoda	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
canidae	-37.8	-0	carnivora	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
carcharodontosauridae	-154	-90	carnosauria	carcharodontosaurus, concavenator, giganotosaurus, neovenator, tyrannotitan, mapusaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
carcharodontosaurus	-100	-94	carcharodontosauridae	NA	'jagged toothed lizard', Northwest Africa	NA	FALSE	FALSE	FALSE	TRUE	FALSE
carnivora	-51.88	-0	ferae	canidae, felidae, ursidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
carnosauria	-180	-90	tetanurae	allosauridae, carcharodontosauridae, metriacanthosauridae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
carnotaurus	-72	-69	abelisauridae	NA	'Meat bull'. South America. Two thick horns above the eyes. Relatively short, deep snout. Small, vestigial forelimbs.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
caseasauria	-306	-254	synapsida	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
