taxon	from	to	parent	children	notes	level	asterisk	is_collapsed	is_root	is_tip	is_node
gallimimus	-70	-70	ornithomimidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
galloanserae	-68	-0	neognathae	gastornis, dromornithidae	NA	NA	TRUE	FALSE	FALSE	FALSE	TRUE
gastornis	-60.4	-44.5	galloanserae	NA	Europe, North America, Asia.	genus	TRUE	FALSE	FALSE	TRUE	FALSE
gavialidae	-38	-0	gavialoidea	gavialis	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
gavialis	-20	-0	gavialidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
gavialoidea	-70	-0	crocodilia	gavialidae	NA	superfamily	FALSE	FALSE	FALSE	FALSE	TRUE
gekkota	-100	-0	squamata	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
giganotosaurus	-99.6	-95	carcharodontosauridae	NA	'giant southern lizard', Argentina	NA	FALSE	FALSE	FALSE	TRUE	FALSE
gigantopithecus	-2	-0.3	ponginae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
gigantoraptor	-90	-90	oviraptorosauria	NA	'Giant thief'. Mongolia. Largest-known oviraptorosaur.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
giraffa	-11.61	-0	giraffidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
giraffatitan	-150	-145	brachiosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
giraffidae	-20	-0	artiodactyla	giraffa, sivatherium	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
glyptodon	-3.2	-0.011	glyptodontinae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
glyptodontinae	-38	-0.011	cingulata	glyptodon	NA	subfamily	FALSE	FALSE	FALSE	FALSE	TRUE
gnathostomata	-445	-0	NA	chondrichthyes, osteichthyes, placodermi, acanthodii	jawed vertbrates	infraphylum	FALSE	FALSE	TRUE	FALSE	FALSE
gomphotheriidae	-28	-0.01	proboscidea	gomphotherium	'Nail beasts'.	family	FALSE	FALSE	FALSE	FALSE	TRUE
gomphotherium	-16	-5	gomphotheriidae	NA	'Nail beast'. Eurasia, Africa, North America. Double set of straight tusks.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
gorgonops	-260	-254	gorgonopsia	NA	'Gorgon face'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
gorgonopsia	-270	-252	theriodontia	gorgonops, lycaenops, inostrancevia, rubidgea	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
gorgosaurus	-76.5	-75	tyrannosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
gorilla	-4	-0	gorillini	NA	NA	genus	TRUE	FALSE	FALSE	TRUE	FALSE
gorillini	-8	-0	homininae	gorilla	NA	tribe	FALSE	FALSE	FALSE	FALSE	TRUE
gracilisuchidae	-247.2	-234	pseudosuchia	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
guanlong	-160	-160	tyrannosauroidea	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
gymnophiona	-223	-0	lissamphibia	NA	'Blind ones'. Caecilians.	order	FALSE	FALSE	FALSE	TRUE	FALSE
hadrosauridae	-90	-66	ornithopoda	corythosaurus, edmontosaurus, hadrosaurus, lambeosaurus, maiasaura, parasaurolophus, shantungosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
hadrosaurus	-83.6	-77.9	hadrosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
hapalodectidae	-55	-33.9	mesonychia	NA	NA	family	TRUE	FALSE	FALSE	TRUE	FALSE
haplorhini	-60	-0	primates	simiiformes, tarsiiformes	'Simple-nosed'. Aka 'dry-nosed'.	tribe	TRUE	FALSE	FALSE	FALSE	TRUE
hatzegopteryx	-66	-66	azhdarchidae	NA	Named after Hațeg, a town in Romania	genus	FALSE	FALSE	FALSE	TRUE	FALSE
herrerasauridae	-233.23	-228.91	theropoda	herrerasaurus, staurikosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
herrerasaurus	-231.4	-228.91	herrerasauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
hesperornis	-83.6	-72	euornithes	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
heterodontosaurus	-200	-190	ornithischia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
hippopotamidae	-7.4	-0	artiodactyla	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
hominidae	-20	-0	hominoidea	ponginae, homininae	Great apes.	family	TRUE	FALSE	FALSE	FALSE	TRUE
homininae	-12.5	-0	hominidae	hominini, gorillini	NA	subfamily	FALSE	FALSE	FALSE	FALSE	TRUE
hominini	-7	-0	homininae	homo, pan, australopithecus, ardipithecus	NA	tribe	FALSE	FALSE	FALSE	FALSE	TRUE
hominoidea	-23	-0	catarrhini	hominidae, hylobatidae	Apes	superfamily	TRUE	FALSE	FALSE	FALSE	TRUE
homo	-2.8	-0	hominini	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
homotherium	-4	-0.012	machairodontinae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
hupehsuchia	-248	-247.2	ichthyosauromorpha	NA	Name comes from the Hubei Province, China.	order	FALSE	FALSE	FALSE	TRUE	FALSE
hyaenodon	-42	-16.9	hyaenodontidae	NA	'Hyaena tooth'. Eurasia, North America.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
hyaenodontidae	-55.2	-16.9	creodonta	simbakubwa, hyaenodon, megistotherium	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
hylobatidae	-13.8	-0	hominoidea	NA	Lesser apes i.e. gibbons.	family	FALSE	FALSE	FALSE	TRUE	FALSE
hypsilophodon	-130	-125	ornithopoda	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ichthyornis	-95	-83.5	euornithes	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ichthyosauromorpha	-251.3	-90	archosauromorpha	hupehsuchia, shonisaurus, shastasaurus, ophthalmosaurus, ichthyosaurus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
ichthyosaurus	-201.4	-184.2	ichthyosauromorpha	NA	'Fish lizard'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
ichthyostega	-365	-360	tetrapodomorpha	NA	'Fish roof'. Greenland.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
iguanodon	-126	-122	ornithopoda	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
inostrancevia	-259	-251.9	gorgonopsia	NA	European Russia and Southern Africa. Largest known gorgonopsian.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
irritator	-113	-110	spinosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
josephoartigasia	-3	-2	rodentia	NA	Uruguay. Biggest rodent ever discovered with a skull length of ~53 cm.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
juratyrant	-149	-149	tyrannosauroidea	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
kentrosaurus	-152	-152	stegosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
kimmerosaurus	-152	-150	cryptoclididae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
koolasuchus	-125	-120	stereospondyli	NA	Australia.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
kronosaurus	-125	-99.6	pliosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
kulindadromeus	-168.3	-166.1	ornithischia	NA	'Kulinda runner'. Russia. Feather-like integument = evidence for protofeathers being basal to Ornithischia (and possibly Dinosauria as a whole, rather than just to Coelurosauria).	genus	FALSE	FALSE	FALSE	TRUE	FALSE
lagomorpha	-59	-0	euarchontoglires	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
lambeosaurus	-76	-75	hadrosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
laurasiatheria	-85	-0	placentalia	artiodactyla, chiroptera, ferae, perissodactyla, uintatherium, mesonychia	NA	NA	TRUE	FALSE	FALSE	FALSE	TRUE
leaellynasaura	-118	-110	ornithopoda	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
lemuriformes	-40	-0	strepsirrhini	NA	Lemuroids (MAdagascar) and lorisoids (Africa and Asia).	NA	FALSE	FALSE	FALSE	TRUE	FALSE
lepidosauromorpha	-252	-0	sauria	rhynchocephalia, squamata	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
lepospondyli	-339	-251.902	tetrapoda	diplocaulus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
leptocleididae	-145	-100.5	plesiosauria	leptocleidus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
leptocleidus	-135	-125	leptocleididae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
leptosuchus	-237	-208.5	phytosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
liopleurodon	-166	-155	pliosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
lisowicia	-210	-205	dicynodontia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
lissamphibia	-250	-0	temnospondyli	anura, gymnophiona, urodela	'Smooth amphibians'. Includes all modern amphibians.	NA	FALSE	FALSE	FALSE	FALSE	TRUE
lotosaurus	-238	-238	poposauroidea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
loxodonta	-7	-0	elephantidae	NA	Two extant species: L. africana (African bush elephant) and L. cyclotis (African forest elephant).	genus	FALSE	FALSE	FALSE	TRUE	FALSE
lupeosaurus	-295	-295	edaphosauridae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
lycaenops	-260	-260	gorgonopsia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
lycopsis	-16.3	-9	borhyaenidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
lystrosaurus	-255	-248	dicynodontia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
machaeroprosopus	-228	-209	phytosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
machairodontinae	-14	-0.0117	felidae	smilodon, homotherium, amphimachairodus	NA	subfamily	TRUE	FALSE	FALSE	FALSE	TRUE
maiasaura	-86.3	-70.6	hadrosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
majungasaurus	-70	-66	abelisauridae	NA	Named after the Mahajanga Province, northwestern Madagascar.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
mamenchisauridae	-184.5	-114	sauropoda	mamenchisaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
mamenchisaurus	-161	-114.4	mamenchisauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
mammalia	-167	-0	mammaliaformes	monotremata, multituberculata, theria	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
mammaliaformes	-227	-0	mammaliamorpha	mammalia, morganucodonta	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
mammaliamorpha	-232	-0	cynodontia	mammaliaformes	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
mammut	-8	-0.011	mammutidae	NA	Aka mastodon ('nipple tooth').	NA	FALSE	FALSE	FALSE	TRUE	FALSE
mammuthus	-6.2	-0.004	elephantidae	NA	Aka mammuths. Southern and Eastern Africa, Eurasia, North America. incl M. primigenius (the wooly mammuth)	genus	FALSE	FALSE	FALSE	TRUE	FALSE
mammutidae	-27.5	-0.011	proboscidea	mammut	incl mastodons	family	FALSE	FALSE	FALSE	FALSE	TRUE
maniraptora	-167	-0	coelurosauria	alvarezsauridae, oviraptorosauria, paraves, therizinosauridae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
mantellisaurus	-130	-120	ornithopoda	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
mapusaurus	-94	-90	carcharodontosauridae	NA	Argentina. Name derived from Mapuche word Mapu, meaning 'of the Land' or 'of the Earth'	genus	FALSE	FALSE	FALSE	TRUE	FALSE
marginocephalia	-165	-66	ornithischia	ceratopsia, pachycephalosauria	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
marsupalia	-66	-0	metatheria	diprotodontidae, thylacinidae, thylacoleonidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
massospondylidae	-227	-176	sauropodomorpha	massospondylus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
massospondylus	-200	-183	massospondylidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
megacerops	-38	-33.9	brontotheriidae	NA	'Large horn face' aka Brontotherium. North America.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
megalosauridae	-170	-145	megalosauroidea	megalosaurus, torvosaurus, eustreptospondylus, afrovenator	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
megalosauroidea	-175	-94	tetanurae	megalosauridae, spinosauridae	NA	superfamily	FALSE	FALSE	FALSE	FALSE	TRUE
megalosaurus	-166	-165	megalosauridae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
megaraptor	-90	-88	megaraptora	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
megaraptora	-130	-66	tyrannosauroidea	australovenator, fukuiraptor, megaraptor	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
megatheriidae	-29	-0.008	pilosa	megatherium	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
megatherium	-5	-0.01	megatheriidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
megistotherium	-19	-12	hyaenodontidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
mesohippus	-37	-32	equidae	NA	'Middle horse'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
mesonychia	-68	-28.4	laurasiatheria	mesonychidae, hapalodectidae	'Middle claws'.	NA	TRUE	FALSE	FALSE	FALSE	TRUE
mesonychidae	-67	-28.4	mesonychia	mongolestes, ankalagon, dissacus, mesonyx	NA	family	TRUE	FALSE	FALSE	FALSE	TRUE
mesonyx	-51.8	-51.7	mesonychidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
mesosauria	-299	-270.6	parareptilia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
metatheria	-125	-0	theria	marsupalia, sparassodonta, stagodontidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
metoposaurus	-227	-216.5	stereospondyli	NA	'Front lizard'. Europe. Mostly aquatic.	NA	FALSE	FALSE	FALSE	TRUE	FALSE
metriacanthosauridae	-174	-125	carnosauria	sinraptor	'Moderately-spined lizards'.	family	FALSE	FALSE	FALSE	FALSE	TRUE
metriorhynchidae	-168	-125	thalattosuchia	metriorhynchus, thalattosuchus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
metriorhynchus	-157	-150	metriorhynchidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
microraptor	-125	-120	microraptoria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
microraptoria	-126	-113	dromaeosauridae	microraptor, sinornithosaurus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
miohippus	-32	-25	equidae	NA	'Small horse'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
moeritherium	-37	-35	proboscidea	NA	'The beast from Lake Moeris'. North and West Africa.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
mongolestes	-48.6	-28.4	mesonychidae	NA	'Mongolian robber'. Mongolia.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
monotremata	-125	-0	mammalia	ornithorhynchidae, tachyglossidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
morganucodonta	-210	-140	mammaliaformes	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
moropus	-20.43	-13.6	chalicotheriidae	NA	'Slow foot'. North America	genus	FALSE	FALSE	FALSE	TRUE	FALSE
mosasauria	-121	-66	squamata	mosasaurus, tylosaurus, prognathodon	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
mosasaurus	-82.7	-66	mosasauria	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
moschops	-265	-260	dinocephalia	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
multituberculata	-166	-40	mammalia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
muttaburrasaurus	-112	-103	ornithopoda	NA	Named after Muttaburra, Queensland, Australia.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
mysticeti	-34	-0	cetacea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
neoaves	-62.5	-0	neognathae	phorusrhacidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
neognathae	-72	-0	aves	galloanserae, neoaves	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
neovenator	-130	-125	carcharodontosauridae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
noasauridae	-164	-66	ceratosauria	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
nodosauridae	-155	-66	ankylosauria	edmontonia, europelta, nodosaurus, polacanthus, sauropelta, borealopelta	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
nodosaurus	-99.7	-86.3	nodosauridae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
nothosauroidea	-251	-210	sauropterygia	simosaurus, nothosaurus	NA	superfamily	FALSE	FALSE	FALSE	FALSE	TRUE
nothosaurus	-240	-210	nothosauroidea	NA	'False lizard'	genus	FALSE	FALSE	FALSE	TRUE	FALSE
notosuchia	-167	-11	crocodyliformes	notosuchus, sebecidae, simosuchus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
notosuchus	-85	-85	notosuchia	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
odontoceti	-33.9	-0	cetacea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
ophiacodontidae	-308	-273	synapsida	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
ophthalmosaurus	-165	-157	ichthyosauromorpha	NA	'Eye lizard'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
ornithischia	-210	-66	dinosauria	heterodontosaurus, marginocephalia, ornithopoda, thyreophora, kulindadromeus	'Bird hip'.	NA	TRUE	FALSE	FALSE	FALSE	TRUE
ornithocheiridae	-140	-90	ornithocheiroidea	ornithocheirus, tropeognathus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
ornithocheiroidea	-145	-66	pterodactyloidea	anhangueridae, azhdarchidae, ornithocheiridae, pteranodon	NA	superfamily	FALSE	FALSE	FALSE	FALSE	TRUE
ornithocheirus	-105	-93.9	ornithocheiridae	NA	'bird hand'. UK and poss. Morocco	genus	FALSE	FALSE	FALSE	TRUE	FALSE
ornitholestes	-154	-154	coelurosauria	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
ornithomimidae	-96	-66	ornithomimosauria	gallimimus, ornithomimus, struthiomimus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
ornithomimosauria	-140	-66	coelurosauria	deinocheiridae, ornithomimidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
ornithomimus	-76.5	-66	ornithomimidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
ornithopoda	-170	-66	ornithischia	tenontosaurus, camptosaurus, dryosauridae, hadrosauridae, hypsilophodon, iguanodon, mantellisaurus, ouranosaurus, zalmoxes, muttaburrasaurus, leaellynasaura	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
ornithorhynchidae	-26	-0	monotremata	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
ornithosuchidae	-228	-203.6	pseudosuchia	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
orohippus	-54	-54	equidae	NA	'Mountain horse'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
osteichthyes	-430	-0	gnathostomata	actinopterygii, sarcopterygii	bony fishes	NA	FALSE	FALSE	FALSE	FALSE	TRUE
ouranosaurus	-121.4	-113	ornithopoda	NA	Africa.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
oviraptor	-75	-71	oviraptorosauria	NA	'Egg thief'. Mongolia.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
oviraptorosauria	-130	-66	maniraptora	oviraptor, gigantoraptor	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
oxyaenidae	-58.9	-39.7	creodonta	NA	NA	family	FALSE	FALSE	FALSE	TRUE	FALSE
pachycephalosauria	-100	-66	marginocephalia	pachycephalosaurus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
pachycephalosaurus	-70	-66	pachycephalosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
pachypleurosauria	-251	-227	sauropterygia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
pachyrhinosaurus	-73.5	-69	ceratopsidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
pakicetus	-50	-48	cetacea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
palaeanodonta	-62.22	-30.9	pholidotamorpha	NA	'Ancient toothless'.	NA	FALSE	FALSE	FALSE	TRUE	FALSE
palaeognathae	-60	-0	aves	aepyornithiformes, apterygidae, casuariiformes, dinornithiformes, rheidae, struthionidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
palaeoloxodon	-2.58	-0.0117	elephantidae	NA	Africa, Eurasia. Contains the largest known species of elephants.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
pan	-4	-0	hominini	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
panderichthys	-380	-380	tetrapodomorpha	NA	Named after the German-Baltic paleontologist Christian Heinrich Pander.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
pantestudines	-240	-0	archelosauria	testudinata	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
panthera	-5	-0	felidae	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE
paraceratheriidae	-47	-23	rhinocerotoidea	paraceratherium	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
paraceratherium	-34	-23	paraceratheriidae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
parahippus	-24	-17	equidae	NA	'Near horse'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
paralititan	-99.6	-93.5	titanosauria	NA	'Tidal giant'. Egypt. Discovered in coastal deposits.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
parareptilia	-306	-201.3	sauropsida	mesosauria, pareiasauria	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
parasaurolophus	-76.9	-73.5	hadrosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
parasuchus	-222.5	-212	phytosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
paraves	-167	-0	maniraptora	avialae, deinonychosauria, scansoriopterygidae, anchiornithidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
pareiasauria	-265	-252	parareptilia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
patagornis	-17.5	-11.6	phorusrhacidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
patagotitan	-101.62	-101.62	titanosauria	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
perissodactyla	-60	-0	laurasiatheria	rhinocerotoidea, brontotheriidae, chalicotheriidae, equidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
perucetus	-39.8	-37.84	basilosauridae	NA	Peru	genus	FALSE	FALSE	FALSE	TRUE	FALSE
phiomia	-37	-30	proboscidea	NA	North Africa. Relatively small body size. Upper jaw and mandibles both had short tusks.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
pholidosauridae	-150	-66	crocodyliformes	sarcosuchus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
pholidota	-47.8	-0	pholidotamorpha	NA	Pangolins	NA	FALSE	FALSE	FALSE	TRUE	FALSE
pholidotamorpha	-65	-0	ferae	palaeanodonta, pholidota	'Pangolin-like forms'.	NA	TRUE	FALSE	FALSE	FALSE	TRUE
phorusrhacidae	-43	-0.1	neoaves	titanis, phorusrhacos, patagornis	'Terror birds'. South America.	family	FALSE	FALSE	FALSE	FALSE	TRUE
phorusrhacos	-20	-13	phorusrhacidae	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
phytosauria	-242	-201.4	pseudosuchia	leptosuchus, smilosuchus, parasuchus, machaeroprosopus	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
pilosa	-55.8	-0	xenarthra	megatheriidae	sloths and anteaters	NA	FALSE	FALSE	FALSE	FALSE	TRUE
pistosauroidea	-251	-66	sauropterygia	pistosaurus, plesiosauria	NA	superfamily	FALSE	FALSE	FALSE	FALSE	TRUE
pistosaurus	-247.2	-237	pistosauroidea	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
placentalia	-90	-0	eutheria	afrotheria, euarchontoglires, laurasiatheria, xenarthra	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
placerias	-230	-215	dicynodontia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
placodermi	-439	-358.9	gnathostomata	dunkleosteus	'Plate skin'.	NA	FALSE	FALSE	FALSE	FALSE	TRUE
placodontia	-245	-201.3	sauropterygia	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
plateosaurus	-227	-204	sauropodomorpha	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
platyrrhini	-31	-0	simiiformes	NA	'Flat nosed'. New World monkeys: Central and South America.	tribe	FALSE	FALSE	FALSE	TRUE	FALSE
plesiopleurodon	-98	-98	polycotylidae	NA	'Near to side tooth'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
plesiosauria	-232	-66	pistosauroidea	cryptoclididae, elasmosauridae, leptocleididae, plesiosaurus, pliosauridae, polycotylidae	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE
plesiosaurus	-199.6	-175.6	plesiosauria	NA	'Near to lizard'. England.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
pliohippus	-15.97	-4.9	equidae	NA	More horse.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
pliosauridae	-228	-89.3	plesiosauria	attenborosaurus, kronosaurus, liopleurodon, pliosaurus	NA	family	FALSE	FALSE	FALSE	FALSE	TRUE
pliosaurus	-155.7	-147	pliosauridae	NA	'More lizard'. Includes P. funkei - aka 'Predator X'	NA	FALSE	FALSE	FALSE	TRUE	FALSE
polacanthus	-130	-125	nodosauridae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
polonosuchus	-237	-227	rauisuchia	NA	NA	genus	FALSE	FALSE	FALSE	TRUE	FALSE
polycotylidae	-113	-72	plesiosauria	plesiopleurodon, polycotylus	Known as false pliosaurs.	family	FALSE	FALSE	FALSE	FALSE	TRUE
polycotylus	-83.6	-83.6	polycotylidae	NA	'Much-cupped vertebrae'.	genus	FALSE	FALSE	FALSE	TRUE	FALSE
ponginae	-18.5	-0	hominidae	pongo, gigantopithecus	NA	subfamily	FALSE	FALSE	FALSE	FALSE	TRUE
pongo	-2.58	-0	ponginae	NA	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE
poposauridae	-237	-201.3	poposauroidea	poposaurus	Bipedal carnivores.	family	FALSE	FALSE	FALSE	FALSE	TRUE
